순번,구코드,구,법정동,아파트,계약일,거래금액(만원),전용면적(㎡),층,건축년도,지번,거래유형,중개사소재지,매수자,매도자,해제사유발생일,등기일자,거래키
15,41591,만세구,장안면 사곡리,산호,2026-06-26,14500,59.88,8,1996,170,중개거래,경기 화성시 만세구,개인,개인,,,202606:41591:14
16,41591,만세구,향남읍 하길리,화성향남서봉마을사랑으로부영3단지,2026-06-26,33000,60.4624,20,2015,1464,중개거래,경기 화성시 만세구,개인,개인,,,202606:41591:15
17,41591,만세구,송산면 사강리,송산렉스타운,2026-06-29,25500,84.8341,6,2014,636-3,중개거래,경기 화성시 만세구,개인,개인,,26.07.08,202606:41591:16
18,41591,만세구,향남읍 행정리,향남시범살구꽃마을풍림아이원,2026-06-22,28800,84.8578,5,2008,480,중개거래,경기 화성시 만세구,개인,개인,,,202606:41591:17
19,41591,만세구,남양읍 신남리,화성시청역서희스타힐스4차숲속마을,2026-06-26,40000,84.9047,16,2023,산96-8,중개거래,경기 화성시 만세구,개인,기타,,,202606:41591:18
20,41591,만세구,향남읍 행정리,살구꽃마을대방노블랜드,2026-06-24,36500,84.96,5,2008,485,중개거래,경기 화성시 만세구,개인,개인,,,202606:41591:19
21,41591,만세구,남양읍 남양리,e편한세상남양뉴타운,2026-06-13,44000,84.97,15,2022,2195,중개거래,경기 화성시 만세구,개인,개인,,,202606:41591:20
22,41591,만세구,향남읍 행정리,화성향남시범복사꽃마을한국아델리,2026-06-27,32000,84.956,15,2008,479,중개거래,경기 화성시 만세구,개인,개인,,,202606:41591:21
23,41591,만세구,팔탄면 가재리,진우,2026-06-17,12500,49.5,9,2002,692-1,중개거래,경기 평택시,개인,개인,,,202606:41591:22
24,41591,만세구,송산면 육일리,포도마을코스코밸리,2026-06-18,17900,59.9176,9,2009,726,중개거래,경기 화성시 만세구,개인,개인,,26.07.10,202606:41591:23
25,41591,만세구,송산면 육일리,포도마을코스코밸리,2026-06-16,21500,84.9468,7,2009,726,중개거래,경기 화성시 만세구,개인,개인,,,202606:41591:24
26,41591,만세구,향남읍 하길리,모아미래도에듀파크서봉마을4단지,2026-06-26,37500,73.9805,8,2018,1515,중개거래,"경기 화성시 만세구, 서울 서초구",개인,개인,,,202606:41591:25
27,41591,만세구,새솔동,세영리첼에듀파크,2026-06-27,49800,84.8862,13,2019,26,중개거래,경기 화성시 만세구,개인,개인,,,202606:41591:26
28,41591,만세구,남양읍 신남리,화성시청역센트럴파크스타힐스1단지,2026-06-30,43500,75.7994,16,2023,1574,중개거래,경기 화성시 만세구,개인,개인,,,202606:41591:27
29,41591,만세구,향남읍 발안리,발안마을주공,2026-06-29,20700,59.92,9,2003,295,중개거래,경기 화성시 만세구,개인,개인,,,202606:41591:28
30,41591,만세구,남양읍 신남리,화성시청역서희스타힐스4차숲속마을,2026-06-28,38000,84.9047,11,2023,산96-8,중개거래,경기 화성시 만세구,개인,개인,,,202606:41591:29
31,41591,만세구,향남읍 행정리,향남지구우미린아파트,2026-06-23,38700,84.94,3,2008,438,중개거래,경기 화성시 만세구,개인,개인,,,202606:41591:30
32,41591,만세구,향남읍 행정리,향남지구우미린아파트,2026-06-25,39000,84.94,3,2008,438,중개거래,경기 화성시 만세구,개인,개인,,,202606:41591:31
33,41591,만세구,남양읍 신남리,화성시청역서희스타힐스4차숲속마을,2026-06-29,38000,84.9047,13,2023,산96-8,중개거래,강원 횡성군,개인,개인,,26.07.20,202606:41591:32
34,41591,만세구,향남읍 행정리,한일베라체,2026-06-25,60000,147.1554,20,2008,494,중개거래,경기 화성시 만세구,개인,법인,,,202606:41591:33
35,41591,만세구,남양읍 신남리,화성시청역서희스타힐스4차숲속마을,2026-06-27,38000,84.9047,18,2023,산96-8,중개거래,경기 화성시 만세구,개인,개인,,,202606:41591:34
36,41591,만세구,새솔동,더펠리체휴먼빌,2026-06-27,51500,84.9699,15,2018,23,중개거래,경기 화성시 만세구,개인,개인,,,202606:41591:35
37,41591,만세구,새솔동,송산신도시대방노블랜드더센트럴3차,2026-06-27,58500,84.9191,1,2019,13,중개거래,경기 화성시 만세구,개인,개인,,,202606:41591:36
38,41591,만세구,향남읍 상신리,한양수자인디에스티지,2026-06-22,43500,76.8208,7,2024,1349,중개거래,경기 화성시 만세구,개인,개인,,,202606:41591:37
